system,n_samples,rouge1,rouge2,rougeL,bertscore_f1,fallback_rate,mean_latency_s,mean_threshold,mean_difficulty,dynamic_mode_share,nli_fcs,nli_fcs_pct,hallucination_rate
best-of-1,15,40.54,17.81,28.02,87.66,0.0,13.724,0.5554,0.7768,100.0,0.9998,99.98,0.0
best-of-2,15,39.61,19.16,27.37,87.49,0.0,20.333,0.5554,0.7768,100.0,0.9998,99.98,0.0
best-of-3,15,39.65,17.77,27.45,87.76,0.0,28.063,0.5554,0.7768,100.0,0.9998,99.98,0.0
best-of-5,15,41.82,20.43,29.03,87.81,0.0,45.68,0.5554,0.7768,100.0,0.9998,99.98,0.0
best-of-8,15,43.36,21.36,29.8,87.93,0.0,74.701,0.5554,0.7768,100.0,0.9998,99.98,0.0
