system,n_samples,rouge1,rouge2,rougeL,bertscore_f1,fallback_rate,mean_latency_s,mean_threshold,mean_difficulty,dynamic_mode_share,nli_fcs,nli_fcs_pct,hallucination_rate
pipeline-verifier-ON,15,38.69,17.57,27.18,87.4,0.0,47.577,0.5554,0.7768,100.0,0.9998,99.98,0.0
pipeline-verifier-OFF,15,39.38,16.6,26.22,87.61,0.0,0.0,,,0.0,0.9998,99.98,0.0
