system,n_samples,rouge1,rouge2,rougeL,bertscore_f1,fallback_rate,mean_latency_s,mean_threshold,mean_difficulty,dynamic_mode_share,nli_fcs,nli_fcs_pct,hallucination_rate
pipeline-verifier-ON,50,39.14,16.88,27.13,87.71,0.0,5.734,0.5516,0.7578,100.0,0.9997,99.97,0.0
pipeline-verifier-OFF,50,37.01,13.78,24.04,87.29,0.0,1.034,,,0.0,0.9997,99.97,0.0
