system,n_samples,rouge1,rouge2,rougeL,bertscore_f1,fallback_rate,mean_latency_s,mean_threshold,mean_difficulty,dynamic_mode_share,nli_fcs,nli_fcs_pct,hallucination_rate
best-of-1,50,37.72,14.4,25.04,87.35,0.0,1.958,0.5516,0.7578,100.0,0.9997,99.97,0.0
best-of-2,50,36.56,14.08,24.32,87.1,0.0,2.983,0.5516,0.7578,100.0,0.9997,99.97,0.0
best-of-3,50,38.44,14.38,24.21,87.44,0.0,3.952,0.5516,0.7578,100.0,0.9998,99.98,0.0
best-of-5,50,37.53,15.31,24.64,87.37,0.0,5.753,0.5516,0.7578,100.0,0.9997,99.97,0.0
best-of-8,50,38.05,15.03,24.23,87.26,0.0,8.685,0.5516,0.7578,100.0,0.9997,99.97,0.0
